id,brand,car_moder,car_type,desc,problem,datetime,status
512691,上汽大众,途观L,2018款 330TSI 自动 两驱 旗舰版,上汽大众途观L轮毂表面氧化 厂家拒绝更换,信息审核,2020-08-22,512691
512690,广汽本田,飞度,2014款 1.5L 手动 LX舒适型,广汽本田飞度通电后发动机无法正常启动,信息审核,2020-08-22,512690
512686,一汽-大众,高尔夫,2020款 280TSI DSG 舒适型,一汽大众高尔夫变速箱顿挫维修后未解决,信息审核,2020-08-22,512686
512683,上汽大众,途岳,2019款 330TSI 四驱 旗舰版 国VI,上汽大众途岳座椅支架螺丝生锈 变速箱异响,信息审核,2020-08-22,512683
512675,上汽大众,途昂,2020款 380TSI 四驱 豪华版 国VI,上汽大众途昂新车前减震处异响非常严重,信息审核,2020-08-22,512675
512674,北京越野,北京BJ40,2018款 2.0T 手动 四驱 尊贵型 柴油,北京BJ40坡道起步时动力消失希望厂家处理,信息审核,2020-08-22,512674
512658,一汽-大众,C-TREK蔚领,2017款 1.6L 自动 舒适型,一汽大众蔚领天窗严重漏水质量差,信息审核,2020-08-22,512658
512657,华晨宝马,宝马3系,2014款 320i 自动 进取型,华晨宝马3系方向机故障方向盘无法转向,信息审核,2020-08-22,512657
512656,一汽-大众,速腾,2020款 280TSI DSG 舒适型 国VI,一汽大众速腾汽油泵故障导致发动机熄火,信息审核,2020-08-22,512656
512648,奇瑞新能源,奇瑞eQ1,2019款 小蚂蚁 智享版 4座 30.6kWh,奇瑞eQ1购车配套的充电桩没有交付,信息审核,2020-08-22,512648
512645,华晨宝马,宝马X3,2020款 xDrive30i 领先型 M运动套装,华晨宝马X3前悬挂异响要求彻底解决故障,信息审核,2020-08-22,512645
512642,一汽-大众,探岳,2020款 280TSI 两驱 豪华智联版,一汽大众探岳新车左侧前后车门大面积喷漆,信息审核,2020-08-22,512642
512630,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 豪华版,奇瑞瑞虎8固铂轮胎鼓包存在质量问题,信息审核,2020-08-22,512630
512629,上汽大众,桑塔纳,2016款 1.4L 手动 风尚版 三厢,上汽大众桑塔纳车身多处生锈 半轴漏油,信息审核,2020-08-22,512629
512628,众泰汽车,众泰T600 Coupe,2017款 1.5T 手动 尊享型,众泰T600 Coupe电子手刹及驻车故障灯亮,信息审核,2020-08-22,512628
512627,BEIJING汽车,BEIJING-EU5,2018款 R550 智潮版,BEIJING-EU5充电时散热风扇噪音过大,信息审核,2020-08-22,512627
512623,上汽大通,上汽大通MAXUS G10,2019款 1.9T 手动 精英版 柴油 PLUS 国V,上汽大通G10发动机无法提速 机油增多,信息审核,2020-08-22,512623
512622,吉利汽车,帝豪GS,2019款 1.4T 手动 雅,吉利帝豪GS发动机漏机油造成皮带损坏,信息审核,2020-08-22,512622
512620,一汽丰田,卡罗拉,2019款 1.2T S-CVT 运动版,一汽丰田卡罗拉后风挡玻璃破裂厂家不解决,信息审核,2020-08-22,512620
512615,吉利汽车,博瑞,2015款 1.8T 旗舰型,吉利博瑞天窗遮阳帘卡住无法回收,信息审核,2020-08-22,512615
512583,北京现代,菲斯塔,2019款 280TGDi 智享版 国VI,北京现代菲斯塔后备箱漆面出现龟裂现象,信息审核,2020-08-22,512583
512582,东风风行,风行T5L,2020款 改款 1.5T 自动 豪华型 7座,东风风行T5L正常行驶过程中天窗突然爆裂,信息审核,2020-08-22,512582
512578,北京奔驰,奔驰GLA,2016款 200 时尚型,北京奔驰GLA轮速传感器故障导致故障灯亮,信息审核,2020-08-22,512578
512575,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型,众泰T700后备箱电动液压杆损坏厂家无配件	,信息审核,2020-08-22,512575
512572,海马汽车,海马爱尚EV,2018款 标准型,海马爱尚EV开车过程中突然动力电池断电	,信息审核,2020-08-22,512572
512570,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜冷车起步时离合器有抖动现象,信息审核,2020-08-22,512570
512567,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜行驶过程中底盘有异响,信息审核,2020-08-22,512567
512566,长安汽车,悦翔,2009款 1.5L 手动 舒适型,长安悦翔车身漆面大面积爆裂要求解决,信息审核,2020-08-22,512566
512565,一汽大众,捷达VS7,2020款 1.4T 自动 悦享型,捷达VS7蓝牙有杂音 语音识别效果差,信息审核,2020-08-22,512565
512560,长城汽车,哈弗H2,2018款 1.5T 双离合 两驱 豪华型 蓝标,哈弗H2仪表盘大面积开裂希望尽快解决	,信息审核,2020-08-22,512560
512691,上汽大众,途观L,2018款 330TSI 自动 两驱 旗舰版,上汽大众途观L轮毂表面氧化 厂家拒绝更换,信息审核,2020-08-22,512691
512690,广汽本田,飞度,2014款 1.5L 手动 LX舒适型,广汽本田飞度通电后发动机无法正常启动,信息审核,2020-08-22,512690
512686,一汽-大众,高尔夫,2020款 280TSI DSG 舒适型,一汽大众高尔夫变速箱顿挫维修后未解决,信息审核,2020-08-22,512686
512683,上汽大众,途岳,2019款 330TSI 四驱 旗舰版 国VI,上汽大众途岳座椅支架螺丝生锈 变速箱异响,信息审核,2020-08-22,512683
512675,上汽大众,途昂,2020款 380TSI 四驱 豪华版 国VI,上汽大众途昂新车前减震处异响非常严重,信息审核,2020-08-22,512675
512674,北京越野,北京BJ40,2018款 2.0T 手动 四驱 尊贵型 柴油,北京BJ40坡道起步时动力消失希望厂家处理,信息审核,2020-08-22,512674
